SubjID,nw_target,nw_response_time,nw_famsize,simp_comp,nw_LogBf
106,heirig,994,S,SIMP,5.35
106,lidary,989,S,COMP,6.26
106,bindic,988,L,COMP,6.11
106,illist,705,L,COMP,7.77
106,figer,777,S,COMP,5.28
106,habitig,656,L,SIMP,7.63
106,gumfil,793,S,SIMP,4.04
106,stirance,711,L,COMP,6.73
106,witchith,826,L,SIMP,6.79
106,dressody,735,L,SIMP,8.26
106,coldity,815,L,COMP,8.18
106,growilt,798,L,SIMP,9.05
106,advertisela,889,S,SIMP,1.56
106,prayange,994,L,SIMP,6.96
106,adoptish,867,S,COMP,7.09
106,rampime,839,S,SIMP,4.55
106,altaric,950,S,COMP,6
106,opposemant,803,S,SIMP,6.9
106,zoomfil,911,S,SIMP,3.53
106,angelish,953,L,COMP,6.48
106,treasonize,996,S,COMP,4.93
106,tripary,991,L,COMP,7.23
106,taxfil,879,L,SIMP,7.92
106,addment,970,L,COMP,8.68
106,wigith,784,L,SIMP,5.57
106,fiendism,807,S,COMP,3.97
106,pickenge,730,L,SIMP,8.13
106,heightence,873,S,COMP,6.82
106,baskody,760,S,SIMP,4.22
106,elbowilm,874,L,SIMP,7.47
106,smoothfil,714,L,SIMP,6.95
106,towerla,748,L,SIMP,7.07
106,earilt,800,L,SIMP,2.77
106,shootmant,717,L,SIMP,7.51
106,feverime,992,S,SIMP,6.39
106,flitence,927,L,COMP,6.4
106,kingism,607,L,COMP,7.73
106,mouthize,779,L,COMP,7.96
106,pooridy,992,L,SIMP,8.38
106,validel,789,L,SIMP,6.43
106,brancher,996,S,COMP,7.43
106,gasful,781,L,COMP,7.31
106,weldic,925,S,COMP,4.86
106,passment,608,L,COMP,9.21
106,pillize,789,S,COMP,6.29
106,elmist,996,S,COMP,5.16
106,longnels,714,L,SIMP,9.86
106,boltoes,684,S,SIMP,5.85
106,pitchory,750,L,COMP,6.41
106,beerer,753,S,COMP,6.75
106,bearilt,708,L,SIMP,7.87
106,thrillange,994,S,SIMP,5.73
106,beanith,709,L,SIMP,6.05
106,aidig,821,S,SIMP,7.06
106,yieldilt,641,S,SIMP,6.42
106,nutla,621,L,SIMP,6.85
106,warnody,870,S,SIMP,7.44
106,boilous,990,L,COMP,7
106,winkidy,707,S,SIMP,5.38
106,humidous,791,S,COMP,4.52
106,bandady,681,L,SIMP,6.89
106,jawla,777,S,SIMP,6.03
106,urnilt,890,S,SIMP,4.22
106,ejectence,889,S,COMP,4.19
106,inkism,778,L,COMP,5.67
106,medicalady,728,S,SIMP,7.19
106,dumbity,717,S,COMP,5.5
106,socketel,822,S,SIMP,4.96
106,antism,761,S,COMP,5.33
106,yankory,765,S,COMP,3.93
106,happenance,783,S,COMP,8.85
106,digody,598,S,SIMP,6.66
106,fanful,590,S,COMP,6.16
106,nullith,695,S,SIMP,3.81
106,bogady,649,L,SIMP,5.56
106,mudly,777,L,COMP,6.82
106,agreely,807,L,COMP,8.46
106,acremant,647,S,SIMP,6.56
106,princement,751,S,COMP,6.81
106,debtish,808,S,COMP,6.49
106,sheeter,690,L,COMP,6.92
107,kingilm,533,L,COMP,7.73
107,angelith,414,L,COMP,6.48
107,mudla,986,L,COMP,6.82
107,ejectenge,441,S,COMP,4.19
107,gumful,320,S,SIMP,4.04
107,inkilm,321,L,COMP,5.67
107,tripady,488,L,COMP,7.23
107,altarig,552,S,COMP,6
107,prayance,333,L,SIMP,6.96
107,employnels,611,L,COMP,8.44
107,adoptish,524,S,COMP,7.09
107,bindig,491,L,COMP,6.11
107,figel,465,S,COMP,5.28
107,taxful,513,L,SIMP,7.92
107,zoomful,379,S,SIMP,3.53
107,addmant,565,L,COMP,8.68
107,beanish,581,L,SIMP,6.05
107,winkity,635,S,SIMP,5.38
107,elbowism,529,L,SIMP,7.47
107,lidady,508,S,COMP,6.26
107,digory,476,S,SIMP,6.66
107,medicalary,639,S,SIMP,7.19
107,boltous,447,S,SIMP,5.85
107,rampize,812,S,SIMP,4.55
107,wigish,553,L,SIMP,5.57
107,bearist,726,L,SIMP,7.87
107,ime,534,L,COMP,7.84
107,pitchody,604,L,COMP,6.41
107,schemeness,555,S,SIMP,7.39
107,agreela,688,L,COMP,8.46
107,flitenge,606,L,COMP,6.4
107,heiric,697,S,SIMP,5.35
107,coldidy,706,L,COMP,8.18
107,fanfil,548,S,COMP,6.16
107,dressory,633,L,SIMP,8.26
