"","subject_nr","target","response_time","famsize","LogBf"
"672",108,"guilty",624,"S",7.36
"673",108,"mildness",566,"S",6.52
"674",108,"destroyer",622,"S",7.55
"675",108,"densely",625,"S",6.48
"676",108,"costly",531,"S",8.35
"677",108,"amusement",606,"S",6.75
"678",108,"professor",569,"L",8.18
"679",108,"excitement",491,"L",7.56
"680",108,"singer",533,"S",7.69
"681",108,"cleaner",455,"L",7.96
"682",108,"tossing",798,"S",6.01
"683",108,"dancer",584,"L",7.6
"684",108,"neatly",522,"S",6.83
"685",108,"peaking",607,"S",6.3
"686",108,"hunter",528,"L",7.47
"687",108,"heater",459,"L",7.97
"688",108,"attacker",592,"S",8.13
"689",108,"bossy",494,"S",6.31
"690",108,"knocker",536,"L",7.01
"691",108,"jailer",517,"S",6.52
"692",108,"lender",633,"S",6.22
"693",108,"locally",505,"S",8.41
"694",108,"conductor",540,"L",6.99
"695",108,"magical",543,"S",6.92
"696",108,"awareness",497,"S",7.78
"697",108,"dreamer",579,"L",7.75
"698",108,"design",618,"S",8.1
"699",108,"listener",588,"S",8.03
"700",108,"strangeness",511,"S",7.98
"701",109,"peaking",565,"S",6.3
"702",109,"blindness",651,"L",6.93
"703",109,"design",497,"S",8.1
"704",109,"singer",693,"S",7.69
"705",109,"seeker",553,"S",7.68
"706",109,"dampish",652,"L",6.43
"707",109,"costly",875,"S",8.35
"708",109,"wrongly",581,"L",8.17
"709",109,"strangeness",692,"S",7.98
"710",109,"excitement",787,"L",7.56
"711",109,"bossy",697,"S",6.31
"712",109,"guilty",636,"S",7.36
"713",109,"composer",822,"L",7.08
"714",109,"bomber",713,"L",7.1
"715",109,"neatly",711,"S",6.83
"716",109,"painter",551,"L",8.21
"717",109,"amazement",988,"S",6.78
"718",109,"risky",582,"S",7.51
"719",109,"bearded",611,"S",6.36
"720",109,"stylish",555,"L",7.66
"721",109,"boneless",714,"L",7.31
"722",109,"flexible",533,"L",6.5
"723",109,"dancer",510,"L",7.6
"724",109,"lender",724,"S",6.22
"725",109,"pusher",649,"L",7.83
"726",109,"renter",507,"L",7.43
"727",109,"noticeable",874,"S",8.14
"728",109,"doubtful",885,"L",8.33
"729",109,"dietary",671,"S",7.07
"730",109,"raider",681,"S",6.22
"731",109,"editor",628,"L",7.17
"732",109,"conductor",683,"L",6.99
