base,word,Word.2,OkayToUse,Word.3,Condition,cond_trig,word_trig,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist
prince,princement,princement,TRUE,PRINCEMENT,NW_S_COMP,203,17,Complex,ment,Graves,4,910,6.81,S,L,6.00,10.00,1
ramp,rampime,rampime,TRUE,RAMPIME,NW_S_SIMP,205,6,Simple,ize,Crepaldi,1,95,4.55,S,S,4.00,7.00,2
ramp,rampize,rampize,TRUE,RAMPIZE,NW_S_COMP,203,6,Complex,ize,Crepaldi,1,95,4.55,S,S,4.00,7.00,2
rip,ripence,ripence,TRUE,RIPENCE,NW_L_COMP,204,4,Complex,ence,Crepaldi,8,471,6.15,L,S,3.00,7.00,1
rip,ripenge,ripenge,TRUE,RIPENGE,NW_L_SIMP,206,4,Simple,ence,Crepaldi,8,471,6.15,L,S,3.00,7.00,1
scheme,schemenels,schemenels,TRUE,SCHEMENELS,NW_S_SIMP,205,15,Simple,ness,Graves,3,1619,7.39,S,L,6.00,10.00,2
scheme,schemeness,schemeness,TRUE,SCHEMENESS,NW_S_COMP,203,15,Complex,ness,Graves,3,1619,7.39,S,L,6.00,10.00,2
sheet,sheetel,sheetel,TRUE,SHEETEL,NW_L_SIMP,206,5,Simple,er,Crepaldi,14,1009,6.92,L,L,5.00,7.00,1
sheet,sheeter,sheeter,TRUE,SHEETER,NW_L_COMP,204,5,Complex,er,Crepaldi,14,1009,6.92,L,L,5.00,7.00,1
shoot,shootmant,shootmant,TRUE,SHOOTMANT,NW_L_SIMP,206,16,Simple,ment,Crepaldi,23,1828,7.51,L,L,5.00,9.00,2
shoot,shootment,shootment,TRUE,SHOOTMENT,NW_L_COMP,204,16,Complex,ment,Crepaldi,23,1828,7.51,L,L,5.00,9.00,2
smooth,smoothfil,smoothfil,TRUE,SMOOTHFIL,NW_L_SIMP,206,19,Simple,ful,Graves,12,1042,6.95,L,L,6.00,9.00,2
