SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S103,804,1,CW_S,201,3,NOTICEABLE,BA_m21,noticeable,notice,able,FORD,6,3426,8.14,S,6,10,Small
S103,612,1,CW_S,201,4,MAGICAL,BA_m21,magical,magic,al,RastleFiller,5,1014,6.92,S,5,7,Small
S103,599,1,CW_S,201,5,ALLOWANCE,BA_m21,allowance,allow,ance,RastleFiller,5,5014,8.52,S,5,9,Small
S103,690,1,CW_S,201,6,DIETARY,BA_m21,dietary,diet,ary,Rastle,6,1181,7.07,S,4,7,Small
S103,559,1,CW_S,201,7,WIDOWED,BA_m21,widowed,widow,ed,RastleFiller,5,499,6.21,S,5,7,Small
S103,511,1,CW_S,201,8,BEARDED,BA_m21,bearded,beard,ed,Rastle,7,578,6.36,S,5,7,Small
S103,767,1,CW_S,201,9,INSISTENT,BA_m21,insistent,insist,ent,RastleFiller,5,1631,7.4,S,6,9,Small
S103,855,1,CW_S,201,10,TOASTER,BA_m21,toaster,toast,er,Rastle,6,339,5.83,S,5,7,Small
S103,881,0,CW_S,201,11,LENDER,BA_m21,lender,lend,er,FORD,3,505,6.22,S,4,6,Small
S103,575,1,CW_S,201,12,RAIDER,BA_m21,raider,raid,er,RastleFiller,4,505,6.22,S,4,6,Small
S103,706,1,CW_S,201,13,JAILER,BA_m21,jailer,jail,er,RastleFiller,5,678,6.52,S,4,6,Small
S103,413,1,CW_S,201,14,DESTROYER,BA_m21,destroyer,destroy,er,FORD,3,1906,7.55,S,7,9,Small
S103,607,1,CW_S,201,15,CAMPAIGNER,BA_m21,campaigner,campaign,er,FORD,3,2003,7.6,S,8,10,Small
S103,750,1,CW_S,201,16,SEEKER,BA_m21,seeker,seek,er,Rastle,7,2155,7.68,S,4,6,Small
S103,727,1,CW_S,201,17,SINGER,BA_m21,singer,sing,er,FORD,4,2186,7.69,S,4,6,Small
S103,490,1,CW_S,201,18,LISTENER,BA_m21,listener,listen,er,FORD,4,3081,8.03,S,6,8,Small
S103,844,1,CW_S,201,19,DESIGN,BA_m21,design,designer,er,RastleFiller,7,3296,8.1,S,8,6,Small
S103,992,0,CW_S,201,20,ATTACKER,BA_m21,attacker,attack,er,FORD,6,3385,8.13,S,6,8,Small
S103,736,1,CW_S,201,21,BUYER,BA_m21,buyer,buy,er,FORD,3,4386,8.39,S,3,5,Small
S103,606,1,CW_S,201,22,PLANNER,BA_m21,planner,plan,er,FORD,4,5475,8.61,S,4,7,Small
S103,696,1,CW_S,201,23,TEACHER,BA_m21,teacher,teach,er,RastleFiller,6,5662,8.64,S,5,7,Small
S103,761,1,CW_S,201,24,THRUSTER,BA_m21,thruster,thrust,er,Graves,4,584,6.37,S,6,8,Small
