SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S101,675,1,NW_S_SIMP,205,24,FEVERIME,AB_m21,feverime,fever,Simple,ize,XuTaft,4,594,6.39,S,S,5,8,2,Small
S101,757,1,NW_S_SIMP,205,25,ADVERTISELA,AB_m21,advertisela,advertise,Simple,ly,XuTaft,4,4.76,1.56,S,S,9,11,2,Small
S101,994,0,NW_L_SIMP,206,1,PRAYANGE,AB_m21,prayange,pray,Simple,ance,Crepaldi,9,1055,6.96,L,L,4,8,2,Large
S101,653,0,NW_L_SIMP,206,2,BOGADY,AB_m21,bogady,bog,Simple,ary,Crepaldi,12,259,5.56,L,S,3,6,2,Large
S101,994,0,NW_L_SIMP,206,3,BANDADY,AB_m21,bandady,band,Simple,ary,Crepaldi,26,981,6.89,L,L,4,7,2,Large
S101,993,0,NW_L_SIMP,206,4,BEGENGE,AB_m21,begenge,beg,Simple,ence,Crepaldi,8,604,6.4,L,S,3,7,2,Large
S101,863,0,NW_L_SIMP,206,5,PICKENGE,AB_m21,pickenge,pick,Simple,ence,Crepaldi,20,3385,8.13,L,L,4,8,2,Large
S101,980,1,NW_L_SIMP,206,6,TAXFIL,AB_m21,taxfil,tax,Simple,ful,Crepaldi,14,2763,7.92,L,L,3,6,2,Large
S101,815,1,NW_L_SIMP,206,7,HABITIG,AB_m21,habitig,habit,Simple,ic,Crepaldi,16,2066,7.63,L,L,5,7,2,Large
S101,994,0,NW_L_SIMP,206,8,BEANITH,AB_m21,beanith,bean,Simple,ish,Crepaldi,9,425,6.05,L,S,4,7,2,Large
S101,708,1,NW_L_SIMP,206,9,WIGITH,AB_m21,wigith,wig,Simple,ish,Crepaldi,8,262,5.57,L,S,3,6,2,Large
S101,604,0,NW_L_SIMP,206,10,ELBOWILM,AB_m21,elbowilm,elbow,Simple,ish,Crepaldi,18,1756,7.47,L,L,5,8,2,Large
S101,870,1,NW_L_SIMP,206,11,WITCHITH,AB_m21,witchith,witch,Simple,ish,Crepaldi,11,890,6.79,L,L,5,8,2,Large
S101,993,0,NW_L_SIMP,206,12,EARILT,AB_m21,earilt,ear,Simple,ist,Crepaldi,16,1711,2.77,L,S,3,6,2,Large
S101,987,0,NW_L_SIMP,206,13,POORIDY,AB_m21,pooridy,poor,Simple,ity,Crepaldi,11,4350,8.38,L,L,4,7,2,Large
S101,993,0,NW_L_SIMP,206,14,NUTLA,AB_m21,nutla,nut,Simple,ly,Crepaldi,31,946,6.85,L,L,3,5,2,Large
S101,687,1,NW_L_SIMP,206,15,TOWERLA,AB_m21,towerla,tower,Simple,ly,Crepaldi,9,1180,7.07,L,L,5,7,2,Large
S101,699,1,NW_L_SIMP,206,16,SHOOTMANT,AB_m21,shootmant,shoot,Simple,ment,Crepaldi,23,1828,7.51,L,L,5,9,2,Large
S101,627,0,NW_L_SIMP,206,17,LONGNELS,AB_m21,longnels,long,Simple,ness,Crepaldi,59,19076,9.86,L,L,4,8,2,Large
S101,920,1,NW_L_SIMP,206,18,CLASSOES,AB_m21,classoes,class,Simple,ous,Crepaldi,29,6216,8.73,L,L,5,8,2,Large
