SubjID,TestSite,ExclReason,Included VSL2,Included LDT,Date ,Sex,Age,Ethnicity,Race,handedness_score,read_for_pleasure,born_in_us,first_language,language_disability,spl_cor,spl_inc,spl_perc,vcb_cor,vcb_inc,vcb_perc,art_cor,art_inc,art_diff,TOWRE_rank,TOWRE_descriptor,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime_zscore,sensitivity
146,Hampshire,,1,1,10/29/2018,Female,18,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,74,6,92.5,39,11,78,41,25,16,,,13,18,13,18,31,0.41935483870967700,0.5806451612903230,-1.0915929391411000,1.0915929391411000,-0.16129032258064500,-2.1831858782822000,Insensitive
147,Hampshire,,1,1,10/30/2018,Female,18,Not Hispanic or Latino,White,6,1-3 hours,No,English,Yes,75,5,93.75,37,13,74,40,26,14,,,13,18,13,18,31,0.41935483870967700,0.5806451612903230,-1.0915929391411000,1.0915929391411000,-0.16129032258064500,-2.1831858782822000,Insensitive
148,Hampshire,MissingEEG,0,0,11/1/2018,Female,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,,,,,,,,,,,,,,,,,,,,,,,
149,Hampshire,MissingEEG,0,0,11/2/2018,Female,19,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,,,,,,,,,,,,,,,,,,,,,,,
150,Hampshire,,1,1,11/9/2018,Female,18,Not Hispanic or Latino,White,11,NA,Yes,English,No,61,19,76.25,46,4,92,42,24,18,,,21,11,21,11,32,0.65625,0.34375,0.48660216095303800,-0.48660216095303800,0.3125,0.9732043219060760,Insensitive
151,Hampshire,MissingLang,0,0,11/12/2018,Female,18,Not Hispanic or Latino,White,10,1-3 hours,Yes,english,No,57,23,71.25,,,,39,27,12,,,,,,,,,,,,,,
152,Hampshire,MissingLang,1,0,11/13/2018,Female,18,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,62,18,77.5,43,7,86,NA,NA,NA,,,19,13,19,13,32,0.59375,0.40625,0.07022728348139230,-0.07022728348139270,0.1875,0.14045456696278500,Insensitive
153,Hampshire,,1,1,11/14/2018,Female,20,Not Hispanic or Latino,Black,10,4-6 hours,Yes,English,No,74,6,92.5,49,1,98,56,10,46,,,21,11,21,11,32,0.65625,0.34375,0.48660216095303800,-0.48660216095303800,0.3125,0.9732043219060760,Insensitive
154,Hampshire,,1,1,11/28/2018,Prefer not to say,19,Not Hispanic or Latino,White,11,Not at all only for school,Yes,English,No,76,4,95,44,6,88,39,27,12,,,21,11,21,11,32,0.65625,0.34375,0.48660216095303800,-0.48660216095303800,0.3125,0.9732043219060760,Insensitive
155,Hampshire,,1,1,12/4/2018,Female,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,58,22,72.5,41,9,82,45,21,24,,,17,14,17,14,31,0.5483870967741940,0.45161290322580600,-0.23198028887706000,0.23198028887705900,0.09677419354838710,-0.46396057775412000,Insensitive
156,Hampshire,,1,1,1/31/2019,Male,20,Not Hispanic or Latino,White,10,Not at all only for school,Yes,English,No,63,17,78.75,34,16,68,38,28,10,,,16,15,16,15,31,0.5161290322580650,0.4838709677419360,-0.4468834514430710,0.4468834514430700,0.032258064516129000,-0.8937669028861410,Insensitive
157,Hampshire,EngNotNative,1,0,2/4/2019,Female,21,Not Hispanic or Latino,White,10,1-3 hours,Yes,Ukrainian,Yes,60,20,75,37,13,74,41,25,16,,,12,20,12,20,32,0.375,0.625,-1.3870847876693700,1.387084787669370,-0.25,-2.7741695753387300,Insensitive
158,Hampshire,,1,1,2/5/2019,Female,22,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,54,26,67.5,33,17,66,38,28,10,,,17,15,17,15,32,0.53125,0.46875,-0.34614759399025300,0.34614759399025300,0.0625,-0.6922951879805060,Insensitive
159,Hampshire,,1,1,2/19/2019,Female,20,Not Hispanic or Latino,White,8,6+ hours,Yes,English,No,64,16,80,47,3,94,52,14,38,,,11,21,11,21,32,0.34375,0.65625,-1.5952722264051900,1.5952722264051900,-0.3125,-3.1905444528103800,Insensitive
160,Hampshire,,1,1,2/21/2019,Female,19,Not Hispanic or Latino,White,11,1-3 hours,Yes,english,No,61,19,76.25,40,10,80,44,22,22,,,11,21,11,21,32,0.34375,0.65625,-1.5952722264051900,1.5952722264051900,-0.3125,-3.1905444528103800,Insensitive
161,Hampshire,MissingLang,1,0,2/22/2019,Female,20,Not Hispanic or Latino,White,8,4-6 hours,Yes,English,No,,,,27,23,54,,,,,,16,16,16,16,32,0.5,0.5,-0.5543350327260760,0.5543350327260750,0,-1.1086700654521500,Insensitive
162,Hampshire,MissingLang,1,0,2/28/2019,Male,19,Hispanic or Latino,White,11,4-6 hours,Yes,english,No,64,16,80,,,,,,,,,32,0,32,0,32,1,0,2.776663987047090,-2.7766639870470900,1,5.553327974094170,Sensitive
163,Hampshire,,1,1,2/28/2019,Male,22,Not Hispanic or Latino,White,6,1-3 hours,Yes,english,No,58,22,72.5,44,6,88,49,17,32,,,18,14,18,14,32,0.5625,0.4375,-0.1379601552544300,0.13796015525443000,0.125,-0.27592031050886000,Insensitive
164,Hampshire,MissingLang,1,0,3/2/2019,Female,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,58,22,72.5,,,,42,24,18,,,19,13,19,13,32,0.59375,0.40625,0.07022728348139230,-0.07022728348139270,0.1875,0.14045456696278500,Insensitive
165,Hampshire,MissingEEG,0,0,3/5/2019,Male,19,Not Hispanic or Latino,White,9,6+ hours,Yes,English,No,54,26,67.5,33,17,66,40,26,14,,,,,,,,,,,,,,
167,Hampshire,,1,1,3/21/2019,Female,19,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,57,23,71.25,33,17,66,41,25,16,,,27,5,27,5,32,0.84375,0.15625,1.7357267933679700,-1.735726793367970,0.6875,3.4714535867359500,Sensitive
168,Hampshire,,1,1,3/25/2019,Female,21,Not Hispanic or Latino,White,5,1-3 hours,Yes,English,No,66,14,82.5,41,9,82,44,22,22,,,17,15,17,15,32,0.53125,0.46875,-0.34614759399025300,0.34614759399025300,0.0625,-0.6922951879805060,Insensitive
169,Hampshire,,1,1,3/26/2019,Female,20,Not Hispanic or Latino,White,5,1-3 hours,Yes,English,No,66,14,82.5,44,6,88,43,23,20,,,24,8,24,8,32,0.75,0.25,1.1111644771605100,-1.111164477160510,0.5,2.2223289543210100,Sensitive
170,Hampshire,,1,1,4/2/2019,Female,19,Not Hispanic or Latino,White,11,Not at all only for school,Yes,English,No,63,17,78.75,42,8,84,43,23,20,,,26,6,26,6,32,0.8125,0.1875,1.527539354632150,-1.5275393546321500,0.625,3.0550787092643000,Sensitive
171,Hampshire,,1,1,4/9/2019,Female,22,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,62,18,77.5,48,2,96,37,29,8,,,21,11,21,11,32,0.65625,0.34375,0.48660216095303800,-0.48660216095303800,0.3125,0.9732043219060760,Insensitive
172,Hampshire,,1,1,4/11/2019,Male,19,Not Hispanic or Latino,White,10,Not at all only for school,Yes,english,No,55,25,68.75,40,10,80,44,22,22,,,9,23,9,23,32,0.28125,0.71875,-2.011647103876830,2.0116471038768300,-0.4375,-4.023294207753670,Insensitive
173,Hampshire,,1,1,4/23/2019,Female,20,Not Hispanic or Latino,White,9,1-3 hours,Yes,English,No,60,20,75,46,4,92,44,22,22,,,15,17,15,17,32,0.46875,0.53125,-0.7625224714618980,0.7625224714618980,-0.0625,-1.5250449429238000,Insensitive
174,Hampshire,,1,1,4/23/2019,Female,20,Not Hispanic or Latino,White,11,4-6 hours,Yes,English,No,69,11,86.25,42,8,84,48,18,30,,,22,10,22,10,32,0.6875,0.3125,0.6947895996888600,-0.6947895996888610,0.375,1.389579199377720,Sensitive
175,Hampshire,,1,1,4/25/2019,Male,19,Not Hispanic or Latino,Black,11,Not at all only for school,Yes,English,No,62,18,77.5,41,9,82,38,28,10,,,18,14,18,14,32,0.5625,0.4375,-0.1379601552544300,0.13796015525443000,0.125,-0.27592031050886000,Insensitive
176,Hampshire,,1,1,4/30/2019,Female,21,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,72,8,90,45,5,90,37,29,8,,,18,14,18,14,32,0.5625,0.4375,-0.1379601552544300,0.13796015525443000,0.125,-0.27592031050886000,Insensitive
177,Hampshire,,1,1,5/2/2019,Male,21,Not Hispanic or Latino,White,9,4-6 hours,Yes,English,No,66,14,82.5,47,3,94,51,15,36,,,21,11,21,11,32,0.65625,0.34375,0.48660216095303800,-0.48660216095303800,0.3125,0.9732043219060760,Insensitive
201,Providence,,1,1,6/12/2023,Female,,Hispanic or Latino,American Indian or Alaska Native,100,1-3 hours,Yes,English ,,68,12,85,37,13,74,38,28,10,58,average,16,16,16,16,32,0.5,0.5,-0.5216448617326040,0.521644861732603,0,-1.0432897234652100,Insensitive
202,Providence,,1,1,6/13/2023,Female,,Not Hispanic or Latino,Asian,80.9,Not at all only for school,Yes,English,,65,15,81.25,32,18,64,42,24,18,50,average,22,10,22,10,32,0.6875,0.3125,0.6361929584763370,-0.636192958476337,0.375,1.2723859169526700,Sensitive
203,Providence,,1,1,6/13/2023,Female,,Not Hispanic or Latino,White,100,1-3 hours,Yes,English,,70,10,87.5,42,8,84,41,25,16,70,average,22,10,22,10,32,0.6875,0.3125,0.6361929584763370,-0.636192958476337,0.375,1.2723859169526700,Sensitive
204,Providence,Alpha,0,1,6/14/2023,Male,,Not Hispanic or Latino,White,90.4,1-3 hours,Yes,English,,73,7,91.25,38,12,76,43,23,20,97,superior,,,,,,,,,,,,
205,Providence,,1,1,6/14/2023,Male,,Not Hispanic or Latino,White,100,1-3 hours,Yes,english,,62,18,77.5,33,17,66,36,30,6,75,average,16,16,16,16,32,0.5,0.5,-0.5216448617326040,0.521644861732603,0,-1.0432897234652100,Insensitive
206,Providence,,1,1,6/15/2023,Female,,Hispanic or Latino,White,90.9,1-3 hours,Yes,English ,,64,16,80,42,8,84,42,24,18,50,average,25,7,25,7,32,0.78125,0.21875,1.2151118685808100,-1.2151118685808100,0.5625,2.4302237371616100,Sensitive
207,Providence,Alpha,0,1,6/20/2023,Female,,Not Hispanic or Latino,White,100,1-3 hours,Yes,English,,67,13,83.75,21,29,42,39,27,12,35,average,,,,,,,,,,,,
208,Providence,,1,1,6/20/2023,Male,24,Not Hispanic or Latino,White,100,1-3 hours,Yes,English,,69,11,86.25,44,6,88,45,21,24,61,average,27,5,27,5,32,0.84375,0.15625,1.6010578086504500,-1.6010578086504500,0.6875,3.2021156173009100,Sensitive
209,Providence,,1,1,6/26/2023,Male,,Not Hispanic or Latino,White,91.3,Not at all only for school,Yes,English,,59,21,73.75,36,14,72,42,24,18,50,average,15,16,15,16,31,0.4838709677419360,0.5161290322580650,-0.6212438140086410,0.6212438140086410,-0.032258064516129000,-1.242487628017280,Insensitive
210,Providence,,1,1,6/27/2023,Female,,Not Hispanic or Latino,White,100,Not at all only for school,Yes,English,,57,23,71.25,30,20,60,35,31,4,73,average,18,14,18,14,32,0.5625,0.4375,-0.1356989216629570,0.1356989216629560,0.125,-0.2713978433259130,Insensitive
211,Providence,,1,1,6/27/2023,Female,,Not Hispanic or Latino,White,90.9,1-3 hours,Yes,english,,62,18,77.5,32,18,64,36,30,6,65,average,15,17,15,17,32,0.46875,0.53125,-0.7146178317674270,0.7146178317674260,-0.0625,-1.4292356635348500,Insensitive
212,Providence,,1,1,6/27/2023,Female,,Not Hispanic or Latino,White,83.3,Not at all only for school,Yes,english,,56,24,70,19,31,38,30,36,-6,79,above average,15,16,15,16,31,0.4838709677419360,0.5161290322580650,-0.6212438140086410,0.6212438140086410,-0.032258064516129000,-1.242487628017280,Insensitive
213,Providence,,1,1,7/5/2023,Female,,Not Hispanic or Latino,White,83.3,Not at all only for school,Yes,English,,50,30,62.5,26,24,52,34,32,2,23,below average,13,18,13,18,31,0.41935483870967700,0.5806451612903230,-1.0196396231127900,1.0196396231127900,-0.16129032258064500,-2.0392792462255900,Insensitive
214,Providence,,1,1,7/5/2023,Male,,Not Hispanic or Latino,White,72.7,1-3 hours,Yes,English,,57,23,71.25,43,7,86,38,28,10,73,average,19,13,19,13,32,0.59375,0.40625,0.05727404837186660,-0.057274048371866900,0.1875,0.11454809674373300,Insensitive
215,Providence,,1,1,7/6/2023,Male,,Not Hispanic or Latino,White,100,1-3 hours,Yes,English,,55,25,68.75,37,13,74,35,31,4,42,average,17,15,17,15,32,0.53125,0.46875,-0.32867189169778000,0.32867189169778000,0.0625,-0.65734378339556,Insensitive
216,Providence,,1,1,7/6/2023,Female,,Not Hispanic or Latino,White,100,1-3 hours,Yes,English ,,60,20,75,34,16,68,41,25,16,61,average,25,7,25,7,32,0.78125,0.21875,1.2151118685808100,-1.2151118685808100,0.5625,2.4302237371616100,Sensitive
