subject_nr,counter,cond_trig,word_trig,targ_type,target,correct,response_time,InvRT,LogRT
S202,95,204,1,NW_L_COMP,STIRANCE,1,656,0.00152439024390244,2.81690383937566
S202,96,201,29,CW_S,HARMLESS,1,550,0.00181818181818182,2.74036268949424
S202,97,201,38,CW_S,AMUSEMENT,1,653,0.00153139356814701,2.81491318127507
S202,98,207,32,FILL_W,FLESH,1,660,0.00151515151515152,2.81954393554187
S202,99,208,11,FILL_NW,DARM,1,726,0.00137741046831956,2.86093662070009
S202,100,202,38,CW_L,EXCITEMENT,1,429,0.00233100233100233,2.63245729218472
S202,101,201,11,CW_S,LENDER,1,789,0.00126742712294043,2.89707700320942
S202,102,206,12,NW_L_SIMP,EARILT,1,866,0.00115473441108545,2.93751789201735
S202,103,201,20,CW_S,ATTACKER,1,566,0.00176678445229682,2.75281643118827
S202,104,201,21,CW_S,BUYER,1,833,0.00120048019207683,2.92064500140679
S202,105,207,12,FILL_W,WEAVE,1,696,0.0014367816091954,2.84260923961056
S202,106,202,13,CW_L,PUSHER,1,740,0.00135135135135135,2.86923171973098
S202,107,201,2,CW_S,AVOIDABLE,1,743,0.00134589502018843,2.87098881376058
S202,108,203,21,NW_S_COMP,WELDIC,1,556,0.00179856115107914,2.74507479158206
S202,109,201,42,CW_S,MILDNESS,1,1161,0.000861326442721792,3.06483221973857
S202,110,201,13,CW_S,JAILER,1,599,0.00166944908180301,2.77742682238931
S202,111,201,23,CW_S,TEACHER,1,633,0.00157977883096367,2.80140371001736
S202,112,203,7,NW_S_COMP,ALTARIC,1,610,0.00163934426229508,2.78532983501077
S202,113,201,31,CW_S,GRIMLY,0,1221,0.000819000819000819,3.08671566394488
S202,114,203,14,NW_S_COMP,TREASONIZE,1,707,0.00141442715700141,2.8494194137969
S202,115,208,35,FILL_NW,PHEEKS,1,758,0.00131926121372032,2.87966920563205
S202,116,203,10,NW_S_COMP,ELMIST,1,574,0.00174216027874564,2.75891189239797
S202,117,207,41,FILL_W,PACK,1,601,0.00166389351081531,2.77887447200274
S202,118,205,25,NW_S_SIMP,ADVERTISELA,0,685,0.00145985401459854,2.83569057149243
S202,119,202,34,CW_L,BONELESS,1,568,0.00176056338028169,2.75434833571102
S202,120,201,5,CW_S,ALLOWANCE,1,519,0.00192678227360308,2.71516735784846
S202,121,202,11,CW_L,DANCER,1,489,0.00204498977505112,2.68930885912362
S202,122,204,25,NW_L_COMP,PITCHORY,1,718,0.00139275766016713,2.8561244442423
S202,123,201,24,CW_S,THRUSTER,0,1220,0.000819672131147541,3.08635983067475
S202,124,203,19,NW_S_COMP,ADOPTISH,1,780,0.00128205128205128,2.89209460269048
S202,125,205,2,NW_S_SIMP,GUMFIL,1,800,0.00125,2.90308998699194
S202,126,207,3,FILL_W,BALD,1,835,0.00119760479041916,2.9216864754836
S202,127,208,28,FILL_NW,HEND,1,703,0.00142247510668563,2.84695532501982
S202,128,206,20,NW_L_SIMP,GROWILT,1,787,0.00127064803049555,2.89597473235906
S202,129,202,48,CW_L,WEEDY,1,804,0.00124378109452736,2.90525604874845
S202,130,206,21,NW_L_SIMP,DRESSODY,1,670,0.00149253731343284,2.82607480270083
S202,131,204,19,NW_L_COMP,KINGISM,1,632,0.00158227848101266,2.80071707828239
S202,132,207,10,FILL_W,BRASS,1,682,0.00146627565982405,2.83378437465648
S202,133,208,10,FILL_NW,DARF,1,661,0.00151285930408472,2.82020145948564
S202,134,205,3,NW_S_SIMP,HEIRIG,1,652,0.00153374233128834,2.81424759573192
S202,135,201,9,CW_S,INSISTENT,1,922,0.00108459869848156,2.96473092105363
