SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S101,620,1,CW_L,202,31,GUILELESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,guileless,guile,less,Graves,9,61,4.11,L,5,9,Large
S101,563,1,CW_L,202,32,BOOTLESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,bootless,boot,less,Graves,19,940,6.85,L,4,8,Large
S101,609,1,CW_L,202,33,CLOUDLESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,cloudless,cloud,less,RastleFiller,14,1181,7.07,L,5,9,Large
S101,558,1,CW_L,202,34,BONELESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,boneless,bone,less,Graves,35,1490,7.31,L,4,8,Large
S101,619,1,CW_L,202,35,SHAPELY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,shapely,shape,ly,XuTaft,12,1909,7.55,L,5,7,Large
S101,529,1,CW_L,202,36,QUIETLY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,quietly,quiet,ly,Rastle,18,2691,7.9,L,5,7,Large
S101,583,1,CW_L,202,37,WRONGLY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,wrongly,wrong,ly,FORD,12,3532,8.17,L,5,7,Large
S101,562,1,CW_L,202,38,EXCITEMENT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,excitement,excite,ment,FORD,9,1924,7.56,L,6,10,Large
S101,598,1,CW_L,202,39,DEAFNESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,deafness,deaf,ness,FORD,9,290,5.67,L,4,8,Large
S101,605,1,CW_L,202,40,BLINDNESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,blindness,blind,ness,FORD,16,1024,6.93,L,5,9,Large
S101,925,1,CW_L,202,41,MADNESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,madness,mad,ness,FORD,10,1298,7.17,L,3,7,Large
S101,417,1,CW_L,202,42,DRYNESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,dryness,dry,ness,XuTaft,19,2366,7.77,L,3,7,Large
S101,628,1,CW_L,202,43,SAILOR,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,sailor,sail,or,RastleFiller,17,740,6.61,L,4,6,Large
S101,556,1,CW_L,202,44,CONDUCTOR,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,conductor,conduct,or,RastleFiller,16,1084,6.99,L,7,9,Large
S101,551,1,CW_L,202,45,EDITOR,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,editor,edit,or,RastleFiller,12,1298,7.17,L,4,6,Large
S101,411,1,CW_L,202,46,COLLECTOR,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,collector,collect,or,XuTaft,23,3221,8.08,L,7,9,Large
S101,717,1,CW_L,202,47,PROFESSOR,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,professor,profess,pr,RastleFiller,14,3563,8.18,L,7,9,Large
S101,463,1,CW_L,202,48,WEEDY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,weedy,weed,y,Graves,17,729,6.59,L,4,5,Large
S101,562,1,CW_L,202,49,CREAMY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,creamy,cream,y,RastleFiller,10,792,6.67,L,5,6,Large
S101,587,1,CW_L,202,50,VERBAL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,verbal,verb,al,RastleFiller,22,423,6.05,L,4,6,Large
S103,753,1,CW_S,201,1,DETECTABLE,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,detectable,detect,able,XuTaft,7,982,6.89,S,6,10,Small
S103,613,1,CW_S,201,2,AVOIDABLE,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,avoidable,avoid,able,XuTaft,5,2172,7.68,S,5,9,Small
S103,804,1,CW_S,201,3,NOTICEABLE,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,noticeable,notice,able,FORD,6,3426,8.14,S,6,10,Small
S103,612,1,CW_S,201,4,MAGICAL,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,magical,magic,al,RastleFiller,5,1014,6.92,S,5,7,Small
S103,599,1,CW_S,201,5,ALLOWANCE,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,allowance,allow,ance,RastleFiller,5,5014,8.52,S,5,9,Small
S103,690,1,CW_S,201,6,DIETARY,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,dietary,diet,ary,Rastle,6,1181,7.07,S,4,7,Small
S103,559,1,CW_S,201,7,WIDOWED,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,widowed,widow,ed,RastleFiller,5,499,6.21,S,5,7,Small
S103,511,1,CW_S,201,8,BEARDED,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,bearded,beard,ed,Rastle,7,578,6.36,S,5,7,Small
S103,767,1,CW_S,201,9,INSISTENT,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,insistent,insist,ent,RastleFiller,5,1631,7.4,S,6,9,Small
S103,855,1,CW_S,201,10,TOASTER,BA_m21,48,41,69,0.9446476833680264,0.03565757214403196,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic,toaster,toast,er,Rastle,6,339,5.83,S,5,7,Small
