Condition,base,word,cond_trig,word_trig,ItemID,affix,Source,FS,BF,LogBF,Complexity,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,List
NW_S_SIMP,happen,happenange,203,2,32,ance,Crepaldi,3,6982,8.85,Simple,Small,High,6.00,10.00,1,BA
NW_S_SIMP,beer,beerel,203,5,35,er,Crepaldi,2,853,6.75,Simple,Small,High,4.00,6.00,1,BA
NW_S_SIMP,branch,branchel,203,16,316,er,Graves,3,1692,7.43,Simple,Small,High,6.00,8.00,1,BA
NW_S_SIMP,prince,princemant,203,17,317,ment,Graves,4,910,6.81,Simple,Small,High,6.00,10.00,1,BA
NW_S_SIMP,height,heightenge,203,18,318,ence,Rastle,2,912,6.82,Simple,Small,High,6.00,10.00,1,BA
NW_S_SIMP,adopt,adoptish,203,19,319,ish,Rastle,4,1205,7.09,Simple,Small,High,5.00,5.00,1,BA
NW_L_SIMP,stir,stirange,204,1,41,ance,Crepaldi,12,841,6.73,Simple,Large,High,4.00,8.00,1,BA
NW_L_SIMP,trip,tripady,204,2,42,ary,Crepaldi,9,1382,7.23,Simple,Large,High,4.00,7.00,1,BA
NW_L_SIMP,sheet,sheetel,204,5,45,er,Crepaldi,14,1009,6.92,Simple,Large,High,5.00,7.00,1,BA
NW_L_SIMP,gas,gasfil,204,6,46,ful,Crepaldi,33,1501,7.31,Simple,Large,High,3.00,6.00,1,BA
NW_L_SIMP,ill,illilt,204,9,49,ist,Crepaldi,27,2375,7.77,Simple,Large,High,3.00,6.00,1,BA
NW_L_SIMP,cold,coldidy,204,10,410,ity,Crepaldi,14,3585,8.18,Simple,Large,High,4.00,7.00,1,BA
NW_L_SIMP,mouth,mouthime,204,11,411,ize,Crepaldi,18,2866,7.96,Simple,Large,High,5.00,8.00,1,BA
NW_L_SIMP,mud,mudla,204,12,412,ly,Crepaldi,16,912,6.82,Simple,Large,High,3.00,5.00,1,BA
NW_L_SIMP,add,addmant,204,13,413,ment,Crepaldi,10,5883,8.68,Simple,Large,High,3.00,7.00,1,BA
NW_L_SIMP,pass,passmant,204,14,414,ment,Crepaldi,43,10035,9.21,Simple,Large,High,4.00,8.00,1,BA
NW_L_SIMP,free,freenels,204,15,415,ness,Crepaldi,88,7277,8.89,Simple,Large,High,4.00,8.00,1,BA
NW_L_SIMP,fellow,fellowoes,204,17,417,ous,Crepaldi,11,1324,7.19,Simple,Large,High,6.00,9.00,1,BA
NW_L_SIMP,boil,boil,204,18,418,ous,Graves,13,1102,7.00,Simple,Large,High,4.00,7.00,1,BA
NW_L_SIMP,king,kingilm,204,19,419,ish,Rastle,11,2275,7.73,Simple,Large,High,4.00,7.00,1,BA
NW_L_SIMP,north,northime,204,20,420,ize,Rastle,30,2541,7.84,Simple,Large,High,5.00,8.00,1,BA
NW_L_SIMP,employ,employnels,204,21,421,ness,Rastle,12,4622,8.44,Simple,Large,High,6.00,10.00,1,BA
NW_L_SIMP,break,breakidy,204,23,423,ity,RastleFiller,43,6366,8.76,Simple,Large,High,5.00,8.00,1,BA
NW_L_SIMP,agree,agreela,204,24,424,ly,RastleFiller,9,4745,8.46,Simple,Large,High,5.00,7.00,1,BA
NW_S_SIMP,melt,meltange,203,1,31,ance,Crepaldi,5,429,6.06,Simple,Small,Low,4.00,8.00,1,BA
NW_S_SIMP,lid,lidady,203,3,33,ary,Crepaldi,3,523,6.26,Simple,Small,Low,3.00,6.00,1,BA
NW_S_SIMP,fig,figel,203,4,34,er,Crepaldi,3,196,5.28,Simple,Small,Low,3.00,5.00,1,BA
