SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S101,839,0,NW_L_COMP,204,21,EMPLOYNESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,employness,employ,Complex,ness,Rastle,12,4622,8.44,L,L,6,10,1,Large
S101,641,0,NW_L_COMP,204,22,BINDIC,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,bindic,bind,Complex,ic,RastleFiller,14,451,6.11,L,S,4,6,1,Large
S101,687,0,NW_L_COMP,204,23,BREAKITY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,breakity,break,Complex,ity,RastleFiller,43,6366,8.76,L,L,5,8,1,Large
S101,630,0,NW_L_COMP,204,24,AGREELY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,agreely,agree,Complex,ly,RastleFiller,9,4745,8.46,L,L,5,7,1,Large
S101,996,0,NW_L_COMP,204,25,PITCHORY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,pitchory,pitch,Complex,ory,RastleFiller,10,610,6.41,L,S,5,8,1,Large
S101,988,0,NW_S_SIMP,205,1,SOCKETEL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,socketel,socket,Simple,er,Crepaldi,1,143,4.96,S,S,6,8,2,Small
S101,772,1,NW_S_SIMP,205,2,GUMFIL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,gumfil,gum,Simple,ful,Crepaldi,2,57,4.04,S,S,3,6,2,Small
S101,995,0,NW_S_SIMP,205,3,HEIRIG,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,heirig,heir,Simple,ic,Crepaldi,3,211,5.35,S,S,4,6,2,Small
S101,996,0,NW_S_SIMP,205,4,AIDIG,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,aidig,aid,Simple,ic,Crepaldi,4,1159,7.06,S,L,3,5,2,Small
S101,578,1,NW_S_SIMP,205,5,URNILT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,urnilt,urn,Simple,ist,Crepaldi,2,68,4.22,S,S,3,6,2,Small
