SubjID,z_vcb,z_spl,z_art,Dim.1,Dim.2,correct,response_time,trial_type,complexity,target,ItemID,word_trig,cond_trig,base,affix,FS,BF,LogFS,LogBF,BaseLength,WholeFormLength,List
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,660,NW,SIMP,sheetel,45,5,204,sheet,er,14,1009,2.6390573296152584,6.92,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,709,NW,SIMP,employnels,421,21,204,employ,ness,12,4622,2.4849066497880004,8.44,6,10,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,688,NW,SIMP,ime,NA,20,204,NA,NA,NA,NA,NA,NA,NA,NA,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,879,NW,SIMP,agreela,424,24,204,agree,ly,9,4745,2.1972245773362196,8.46,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,793,NW,SIMP,fanfil,36,6,203,fan,ful,4,473,1.3862943611198906,6.16,3,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,845,NW,SIMP,aridilm,39,9,203,arid,ish,3,100,1.0986122886681098,4.61,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,869,NW,SIMP,freenels,415,15,204,free,ness,88,7277,4.477336814478207,8.89,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,977,NW,SIMP,dumbidy,312,12,203,dumb,ity,6,244,1.791759469228055,5.5,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,746,NW,SIMP,pitchody,425,25,204,pitch,ory,10,610,2.302585092994046,6.41,5,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,961,NW,COMP,blooder,624,24,206,blood,er,53,3988,3.970291913552122,8.29,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,981,NW,COMP,shootment,616,16,206,shoot,ment,23,1828,3.1354942159291497,7.51,5,9,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,709,NW,COMP,thrillance,522,22,205,thrill,ance,4,307,1.3862943611198906,5.73,6,10,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,909,NW,COMP,warnory,512,12,205,warn,ory,5,1697,1.6094379124341003,7.44,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,860,NW,COMP,winkity,521,21,205,wink,ity,4,216,1.3862943611198906,5.38,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,843,NW,COMP,schemeness,515,15,205,scheme,ness,3,1619,1.0986122886681098,7.39,6,10,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,717,NW,SIMP,passmant,414,14,204,pass,ment,43,10035,3.7612001156935624,9.21,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,862,NW,SIMP,meltange,31,1,203,melt,ance,5,429,1.6094379124341003,6.06,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,798,NW,COMP,poority,613,13,206,poor,ity,11,4350,2.3978952727983707,8.38,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,787,NW,COMP,begence,64,4,206,beg,ence,8,604,2.0794415416798357,6.4,3,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,718,NW,SIMP,gasfil,46,6,204,gas,ful,33,1501,3.4965075614664802,7.31,3,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,794,NW,COMP,habitic,67,7,206,habit,ic,16,2066,2.772588722239781,7.63,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,919,NW,SIMP,weldig,321,21,203,weld,ic,3,129,1.0986122886681098,4.86,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,761,NW,SIMP,truenels,315,15,203,TRUE,ness,6,6,1.791759469228055,1.79,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,735,NW,SIMP,flipody,416,16,204,flip,ory,10,184,2.302585092994046,5.21,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,688,NW,COMP,socketer,51,1,205,socket,er,1,143,0,4.96,6,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,699,NW,SIMP,humidoes,325,25,203,humid,ous,4,92,1.3862943611198906,4.52,5,8,BA
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,907,NW,COMP,mouthize,411,11,204,mouth,ize,18,2866,2.8903717578961645,7.96,5,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,846,NW,SIMP,pickenge,65,5,206,pick,ence,20,3385,2.995732273553991,8.13,4,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,879,NW,SIMP,nutla,614,14,206,nut,ly,31,946,3.4339872044851463,6.85,3,5,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,827,NW,SIMP,urnilt,55,5,205,urn,ist,2,68,0.6931471805599453,4.22,3,6,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,807,NW,SIMP,growilt,620,20,206,grow,ic,14,8545,2.6390573296152584,9.05,4,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,878,NW,SIMP,rampime,56,6,205,ramp,ize,1,95,0,4.55,4,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,762,NW,COMP,pitchory,425,25,204,pitch,ory,10,610,2.302585092994046,6.41,5,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,893,NW,COMP,stirance,41,1,204,stir,ance,12,841,2.4849066497880004,6.73,4,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,793,NW,COMP,mudly,412,12,204,mud,ly,16,912,2.772588722239781,6.82,3,5,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,947,NW,SIMP,medicalady,518,18,205,medical,ary,3,1323,1.0986122886681098,7.19,7,10,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,859,NW,COMP,weldic,321,21,203,weld,ic,3,129,1.0986122886681098,4.86,4,6,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,893,NW,SIMP,socketel,51,1,205,socket,er,1,143,0,4.96,6,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,747,NW,SIMP,helmetoes,514,14,205,helmet,ous,6,242,1.791759469228055,5.49,6,9,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,816,NW,COMP,flitence,43,3,204,flit,ence,11,599,2.3978952727983707,6.4,4,8,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,691,NW,COMP,pillize,313,13,203,pill,ize,5,537,1.6094379124341003,6.29,4,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,969,NW,COMP,tripary,42,2,204,trip,ary,9,1382,2.1972245773362196,7.23,4,7,AB
S104,0.16945890336070296,-0.398728418914212,-0.4482352474931847,-0.3686415830602525,-0.2398231874937962,1,796,NW,SIMP,beanith,68,8,206,bean,ish,9,425,2.1972245773362196,6.05,4,7,AB
