SubjID,z_vcb,z_spl,z_art,Dim.1,Dim.2,correct,response_time,trial_type,target,word_trig,cond_trig,Base,affix,FS,BF,LogFS,LogBF,BaseLength,WholeFormLength,List
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,852,CW,dreamer,12,202,dream,er,19,2325,2.9444389791664403,7.75,5,7,AB
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,555,CW,harmless,29,201,harm,less,7,1101,1.9459101490553132,7,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,506,CW,neatly,33,201,neat,ly,3,924,1.0986122886681098,6.83,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,653,CW,puncher,1,202,punch,er,17,325,2.833213344056216,5.78,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,750,CW,seeker,16,201,seek,er,7,2155,1.9459101490553132,7.68,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,761,CW,thruster,24,201,thrust,er,4,584,1.3862943611198906,6.37,6,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,570,CW,flexible,22,202,flex,ible,16,664,2.772588722239781,6.5,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,733,CW,awareness,44,201,aware,ness,4,2391,1.3862943611198906,7.78,5,9,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,645,CW,boldness,41,201,bold,ness,7,379,1.9459101490553132,5.94,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,762,CW,boneless,34,202,bone,less,35,1490,3.5553480614894135,7.31,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,811,CW,amusement,38,201,amuse,ment,3,857,1.0986122886681098,6.75,5,9,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,693,CW,hugely,35,201,huge,ly,3,1918,1.0986122886681098,7.56,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,727,CW,singer,17,201,sing,er,4,2186,1.3862943611198906,7.69,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,753,CW,detectable,1,201,detect,able,7,982,1.9459101490553132,6.89,6,10,BA
